FileName,ElevationM,Date,Lat,Lon,DamLength,Notes,Area,Mapper,State,MapperID
Area1Dam102,1731.00,4/1/2013,35.9598720,-118.1628770,13.7,Possibly broken dam,1,BO,CA,A
Area1Dam103,1732.00,4/1/2013,35.9605850,-118.1618080,7.1,Broken dam,1,BO,CA,A
Area1Dam104,1732.00,4/1/2013,35.9621120,-118.1609630,17.7,,1,BO,CA,A
Area1Dam105,1734.00,4/1/2013,35.9631660,-118.1594200,5.8,not too sure,1,BO,CA,A
Area1Dam106,1741.00,5/1/2013,35.9663490,-118.1584070,11.0,,1,BO,CA,A
Area1Dam107,1740.00,5/1/2013,35.9663160,-118.1582070,17.3,,1,BO,CA,A
Area1Dam108,1740.00,5/1/2013,35.9665640,-118.1581190,14.6,,1,BO,CA,A
Area1Dam109,1741.00,4/1/2013,35.9676940,-118.1588970,9.1,,1,BO,CA,A
Area1Dam110,1741.00,4/1/2013,35.9682940,-118.1590000,16.9,,1,BO,CA,A
Area1Dam111,1743.00,4/1/2013,35.9698150,-118.1596830,10.7,,1,BO,CA,A
Area1Dam112,1743.00,4/1/2013,35.9704930,-118.1599980,23.4,,1,BO,CA,A
Area1Dam113,1750.00,4/1/2013,35.9759790,-118.1558290,9.3,,1,BO,CA,A
Area1Dam114,1755.00,4/1/2013,35.9797290,-118.1550420,8.0,,1,BO,CA,A
Area1Dam115,1755.00,4/1/2013,35.9796350,-118.1548760,15.0,broken dam?,1,BO,CA,A
Area1Dam116,1755.00,4/1/2013,35.9803830,-118.1547840,18.2,,1,BO,CA,A
Area1Dam117,1758.00,4/1/2013,35.9815510,-118.1535020,5.8,,1,BO,CA,A
Area1Dam118,1773.00,4/1/2013,35.9862360,-118.1526910,9.2,not sure,1,BO,CA,A
Area1Dam119,1776.00,4/1/2013,35.9868320,-118.1510590,5.6,,1,BO,CA,A
Area1Dam120,1781.00,4/1/2013,35.9855100,-118.1494160,35.0,,1,BO,CA,A
Area1Dam121,1783.00,7/1/2016,35.9868220,-118.1466780,12.0,,1,BO,CA,A
Area1Dam122,1784.00,7/1/2016,35.9869470,-118.1465330,14.7,,1,BO,CA,A
Area1Dam123,1789.00,5/1/2013,35.9903610,-118.1499590,10.8,,1,BO,CA,A
Area1Dam124,1789.00,5/1/2013,35.9910560,-118.1502130,12.7,,1,BO,CA,A
Area1Dam125,1796.00,4/1/2013,35.9942720,-118.1510040,6.0,,1,BO,CA,A
Area1Dam126,1795.00,4/1/2013,35.9944250,-118.1509550,13.9,,1,BO,CA,A
Area1Dam127,1796.00,5/1/2013,35.9948830,-118.1507000,13.9,,1,BO,CA,A
Area1Dam128,1797.00,5/1/2013,35.9954890,-118.1502590,33.7,,1,BO,CA,A
Area1Dam129,1798.00,4/1/2013,35.9965030,-118.1487190,28.7,,1,BO,CA,A
Area1Dam130,1799.00,5/1/2013,35.9969420,-118.1468680,17.2,,1,BO,CA,A
Area1Dam131,1801.00,5/1/2013,35.9987590,-118.1455430,9.1,,1,BO,CA,A
Area1Dam132,1803.00,4/1/2013,35.9986300,-118.1443660,11.0,,1,BO,CA,A
Area1Dam133,1803.00,4/1/2013,35.9990150,-118.1437150,12.7,,1,BO,CA,A
Area1Dam134,1808.00,4/1/2013,35.0026830,-118.1456110,19.3,,1,BO,CA,A
Area1Dam135,1809.00,4/1/2013,35.0049410,-118.1428970,8.9,,1,BO,CA,A
Area1Dam136,1809.00,4/1/2013,35.0050830,-118.1423610,14.5,,1,BO,CA,A
Area1Dam137,1811.00,4/1/2013,35.0055030,-118.1412630,31.4,,1,BO,CA,A
Area1Dam138,1810.00,5/1/2013,35.0079810,-118.1383710,10.0,,1,BO,CA,A
Area1Dam139,1811.00,5/1/2013,35.0091520,-118.1384050,15.6,,1,BO,CA,A
Area1Dam140,1811.00,4/1/2013,35.0087460,-118.1381950,11.3,maybe,1,BO,CA,A
Area1Dam141,1810.00,4/1/2013,35.0085610,-118.1380420,12.4,"Not sure, seems out of place",1,BO,CA,A
A2Dam1,0.00,9/1/2014,40.8806660,-106.5668830,65.2,Not sure where it ends,2,BO,CO,A
A2Dam2,0.00,9/1/2014,40.8803510,-106.5673980,70.6,,2,BO,CO,A
A2Dam3,0.00,9/1/2014,40.8800340,-106.5678960,21.2,,2,BO,CO,A
A2Dam4,0.00,9/1/2014,40.8799690,-106.5680340,23.0,,2,BO,CO,A
A2Dam5,0.00,9/1/2014,40.8798010,-106.5681290,60.7,,2,BO,CO,A
A2Dam6,0.00,9/1/2014,40.8797370,-106.5684770,5.4,,2,BO,CO,A
A2Dam7,0.00,9/1/2014,40.8797460,-106.5686570,13.3,Not sure if dam ,2,BO,CO,A
A2Dam8,0.00,9/1/2014,40.8796020,-106.5688930,17.3,,2,BO,CO,A
A2Dam9,0.00,9/1/2014,40.8795480,-106.5687660,18.7,,2,BO,CO,A
A2Dam10,0.00,9/1/2014,40.8795790,-106.5686760,10.8,Might be a channel,2,BO,CO,A
A2Dam11,0.00,9/1/2014,40.8792150,-106.5686200,8.0,,2,BO,CO,A
A2Dam12,0.00,9/1/2014,40.8792170,-106.5687390,27.0,,2,BO,CO,A
A2Dam13,0.00,9/1/2014,40.8793650,-106.5689600,76.7,,2,BO,CO,A
A2Dam14,0.00,9/1/2014,40.8794090,-106.5693880,24.0,,2,BO,CO,A
A2Dam15,0.00,9/1/2014,40.8793130,-106.5696030,29.7,,2,BO,CO,A
A2Dam16,0.00,6/1/2014,40.8792470,-106.5697810,32.2,,2,BO,CO,A
A2Dam17,0.00,6/1/2014,40.8790730,-106.5698400,77.2,,2,BO,CO,A
A2Dam18,0.00,6/1/2014,40.8790330,-106.5705640,37.3,Looks like a dried up dam,2,BO,CO,A
A2Dam19,0.00,9/1/2014,40.8789540,-106.5705800,12.9,,2,BO,CO,A
A2Dam20,0.00,6/1/2014,40.8788100,-106.5709090,26.9,,2,BO,CO,A
A2Dam21,0.00,6/1/2014,40.8786230,-106.5711370,70.0,,2,BO,CO,A
A2Dam22,0.00,9/1/2014,40.8782210,-106.5715120,40.3,,2,BO,CO,A
A2Dam23,0.00,9/1/2014,40.8780650,-106.5718110,9.4,,2,BO,CO,A
A2Dam24,0.00,9/1/2014,40.8778690,-106.5721460,51.4,,2,BO,CO,A
A2Dam25,0.00,9/1/2014,40.8777030,-106.5724010,74.7,,2,BO,CO,A
A2Dam26,0.00,9/1/2014,40.8774360,-106.5729470,30.9,,2,BO,CO,A
A2Dam27,0.00,9/1/2014,40.8772420,-106.5731740,28.8,,2,BO,CO,A
A2Dam28,0.00,6/1/2014,40.8771820,-106.5734690,74.2,,2,BO,CO,A
A2Dam29,0.00,6/1/2014,40.8771220,-106.5737310,62.8,,2,BO,CO,A
A2Dam30,0.00,6/1/2014,40.8768250,-106.5740080,65.3,,2,BO,CO,A
A2Dam31,0.00,6/1/2014,40.8765250,-106.5747780,58.8,,2,BO,CO,A
A2Dam32,0.00,9/1/2014,40.8766760,-106.5752710,32.8,,2,BO,CO,A
A2Dam33,0.00,9/1/2014,40.8765000,-106.5754510,48.6,,2,BO,CO,A
A2Dam34,0.00,9/1/2014,40.8765990,-106.5750890,38.9,,2,BO,CO,A
A2Dam35,0.00,9/1/2014,40.8765050,-106.5759760,14.6,Not sure if dam,2,BO,CO,A
A2Dam36,0.00,9/1/2014,40.8766920,-106.5757660,7.3,Not sure if dam,2,BO,CO,A
A2Dam37,0.00,9/1/2014,40.8773760,-106.5759550,41.9,,2,BO,CO,A
A2Dam38,0.00,6/1/2014,40.8774230,-106.5761470,82.3,,2,BO,CO,A
A2Dam39,0.00,9/1/2014,40.8792250,-106.5811510,34.1,,2,BO,CO,A
A2Dam40,0.00,9/1/2014,40.8789340,-106.5813600,103.0,,2,BO,CO,A
A2Dam41,0.00,9/1/2014,40.8785170,-106.5812320,98.7,,2,BO,CO,A
A2Dam42,0.00,9/1/2014,40.8781630,-106.5811770,138.0,,2,BO,CO,A
A2Dam43,0.00,9/1/2014,40.8761390,-106.5813200,51.1,,2,BO,CO,A
A2Dam44,0.00,9/1/2014,40.8758120,-106.5814890,171.0,Not sure where it ends on the right,2,BO,CO,A
A2Dam45,0.00,9/1/2014,40.8758670,-106.5824880,13.3,,2,BO,CO,A
A2Dam46,0.00,9/1/2014,40.8759820,-106.5828060,29.6,,2,BO,CO,A
A2Dam47,0.00,9/1/2014,40.8757580,-106.5826410,23.0,Not sure about this one,2,BO,CO,A
A2Dam48,0.00,9/1/2014,40.8755270,-106.5828150,58.0,,2,BO,CO,A
A2Dam49,0.00,9/1/2014,40.8753960,-106.5827070,34.0,,2,BO,CO,A
A2Dam50,0.00,9/1/2014,40.8744040,-106.5818850,38.3,"Not sure about this one, its hard to make out",2,BO,CO,A
A2Dam51,0.00,9/1/2014,40.8756390,-106.5830930,111.0,,2,BO,CO,A
A2Dam52,0.00,9/1/2014,40.8753670,-106.5835940,62.2,,2,BO,CO,A
A2Dam53,0.00,9/1/2014,40.8751440,-106.5838540,89.2,,2,BO,CO,A
A2Dam54,0.00,9/1/2014,40.8749350,-106.5844370,91.8,,2,BO,CO,A
A2Dam55,0.00,9/1/2014,40.8758750,-106.5871620,34.3,,2,BO,CO,A
A2Dam56,0.00,9/1/2014,40.8760130,-106.5877280,27.3,,2,BO,CO,A
A2Dam57,0.00,9/1/2014,40.8759550,-106.5878760,85.3,,2,BO,CO,A
A2Dam58,0.00,9/1/2014,40.8850540,-106.5722490,60.5,,2,BO,CO,A
A2Dam59,0.00,9/1/2014,40.8844750,-106.5719720,41.6,,2,BO,CO,A
A2Dam60,0.00,9/1/2014,40.8846600,-106.5716830,50.9,,2,BO,CO,A
A2Dam61,0.00,9/1/2014,40.8850460,-106.5712620,74.3,,2,BO,CO,A
A2Dam62,0.00,9/1/2014,40.8843140,-106.5713520,21.3,,2,BO,CO,A
A2Dam63,0.00,9/1/2014,40.8847500,-106.5708420,125.0,,2,BO,CO,A
A2Dam64,0.00,9/1/2014,40.8856920,-106.5711840,26.6,,2,BO,CO,A
A2Dam65,0.00,9/1/2014,40.8857810,-106.5710170,48.8,,2,BO,CO,A
A2Dam66,0.00,9/1/2014,40.8861280,-106.5700900,41.1,,2,BO,CO,A
A2Dam67,0.00,9/1/2014,40.8871860,-106.5684980,68.4,Looks like there ,2,BO,CO,A
A2Dam68,0.00,9/1/2014,40.8851200,-106.5700510,39.9,,2,BO,CO,A
A2Dam69,0.00,9/1/2014,40.8846620,-106.5697420,41.4,,2,BO,CO,A
A2Dam70,0.00,9/1/2014,40.8849270,-106.5692850,100.0,,2,BO,CO,A
A2Dam71,0.00,9/1/2014,40.8860210,-106.5704340,18.9,,2,BO,CO,A
A2Dam72,0.00,9/1/2014,40.8859880,-106.5706360,23.5,,2,BO,CO,A
A2Dam73,0.00,9/1/2014,40.8858360,-106.5707850,32.6,,2,BO,CO,A
A2Dam74,0.00,9/1/2014,40.8853610,-106.5686150,111.0,,2,BO,CO,A
A2Dam75,0.00,9/1/2014,40.8856830,-106.5680940,37.8,,2,BO,CO,A
A2Dam76,0.00,9/1/2014,40.8842840,-106.5691260,29.8,,2,BO,CO,A
A2Dam77,0.00,9/1/2014,40.8843080,-106.5687530,23.7,,2,BO,CO,A
A2Dam78,0.00,9/1/2014,40.8846860,-106.5680200,39.4,,2,BO,CO,A
A2Dam79,0.00,9/1/2014,40.8850640,-106.5680730,33.0,,2,BO,CO,A
A2Dam80,0.00,9/1/2014,40.8853450,-106.5681470,27.7,,2,BO,CO,A
A2Dam81,0.00,9/1/2014,40.8855380,-106.5675940,44.0,,2,BO,CO,A
A2Dam82,0.00,9/1/2014,40.8854980,-106.5670940,113.0,,2,BO,CO,A
A2Dam83,0.00,9/1/2014,40.8843810,-106.5671900,51.5,,2,BO,CO,A
A2Dam84,0.00,9/1/2014,40.8860850,-106.5670520,81.2,,2,BO,CO,A
A2Dam85,0.00,9/1/2014,40.8853400,-106.5669850,41.4,,2,BO,CO,A
A2Dam86,0.00,9/1/2014,40.8853680,-106.5667330,20.2,,2,BO,CO,A
A2Dam87,0.00,9/1/2014,40.8850580,-106.5666210,34.7,,2,BO,CO,A
A2Dam88,0.00,9/1/2014,40.8847190,-106.5665280,39.0,,2,BO,CO,A
A2Dam89,0.00,9/1/2014,40.8848950,-106.5663790,29.8,,2,BO,CO,A
A2Dam90,0.00,o9/2014,40.8848110,-106.5662010,14.4,,2,BO,CO,A
A2Dam91,0.00,9/1/2014,40.8850370,-106.5658560,36.0,,2,BO,CO,A
A2Dam92,0.00,9/1/2014,40.8859400,-106.5657530,23.6,,2,BO,CO,A
A2Dam93,0.00,9/1/2014,40.8850370,-106.5655010,44.7,,2,BO,CO,A
A2Dam94,0.00,9/1/2014,40.8849730,-106.5651650,20.6,,2,BO,CO,A
A2Dam95,0.00,9/1/2014,40.8850230,-106.5648390,20.8,,2,BO,CO,A
A2Dam96,0.00,6/1/2014,40.8882380,-106.5649280,29.6,,2,BO,CO,A
A2Dam97,0.00,6/1/2014,40.8882060,-106.5650860,25.8,,2,BO,CO,A
A2Dam98,0.00,6/1/2014,40.8892370,-106.5661860,53.3,,2,BO,CO,A
A2Dam99,0.00,9/1/2014,40.8898690,-106.5660380,33.3,,2,BO,CO,A
A2Dam100,0.00,6/1/2014,40.8893650,-106.5668410,48.9,,2,BO,CO,A
A2Dam101,0.00,6/1/2014,40.8893650,-106.5668410,50.2,,2,BO,CO,A
A2Dam102,0.00,9/1/2014,40.8897010,-106.5676980,63.9,,2,BO,CO,A
A2Dam103,0.00,9/1/2014,40.8895810,-106.5681740,64.2,Not too sure about this one,2,BO,CO,A
A2Dam104,0.00,6/1/2014,40.8892770,-106.5687340,28.7,,2,BO,CO,A
A2Dam105,0.00,9/1/2014,40.8900280,-106.5687020,48.2,This one is a little iffy,2,BO,CO,A
A2Dam106,0.00,9/1/2014,40.8894670,-106.5690410,79.8,,2,BO,CO,A
A2Dam107,0.00,9/1/2014,40.8905430,-106.5682340,27.8,,2,BO,CO,A
A2Dam108,0.00,6/1/2014,40.8905910,-106.5694490,48.1,,2,BO,CO,A
A2Dam109,0.00,9/1/2014,40.8897720,-106.5699160,42.9,,2,BO,CO,A
A2Dam110,0.00,9/1/2014,40.8905880,-106.5700940,110.0,,2,BO,CO,A
A2Dam111,0.00,9/1/2014,40.8901840,-106.5702310,124.0,,2,BO,CO,A
A2Dam112,0.00,9/1/2014,40.8902950,-106.5705240,143.0,,2,BO,CO,A
A2Dam113,0.00,9/1/2014,40.8894720,-106.5683880,11.2,,2,BO,CO,A
A2Dam114,0.00,9/1/2014,40.8893770,-106.5684820,12.3,,2,BO,CO,A
A2Dam115,0.00,9/1/2014,40.8910150,-106.5700740,18.5,,2,BO,CO,A
A2Dam116,0.00,9/1/2014,40.8918540,-106.5700530,76.3,,2,BO,CO,A
A2Dam117,0.00,9/1/2014,40.8922180,-106.5704400,74.2,,2,BO,CO,A
